n_perfect,image_distance_A,optimizer_steps,max_force_eV_per_A,relaxation_energy_eV,formation_energy_eV
32,8.16,5,0.008831361605864589,-0.003007935215416424,0.8173161485351658
108,12.24,15,0.009765786369188907,-0.009184651097982055,0.8111256591593305
256,16.32,15,0.009364807063774627,-0.010478157065634264,0.8098321531917105
