# symbol, emt, exp, wien2k
Al, 2.72, 4.45, 4.57
Ni, 3.76, 4.00, 5.00
Cu, 4.21, 4.88, 4.86
Pd, 5.17, 5.00, 5.56
Ag, 4.75, 4.72, 5.42
Pt, 5.31, 5.18, 5.46
Au, 5.46, 6.40, 5.76
