# symbol, emt, exp, wien2k
Al, 39.70, 77.14, 78.08
Ni, 176.23, 192.46, 200.37
Cu, 134.41, 144.28, 141.33
Pd, 180.43, 187.19, 168.63
Ag, 100.06, 105.71, 90.15
Pt, 278.67, 285.51, 248.71
Au, 174.12, 182.01, 139.11
