# symbol, emt-exp, emt-wien2k, exp-wien2k
Al, 5.9, 8.6, 3.6
Ni, 8.6, 12.5, 3.7
Cu, 2.7, 11.9, 9.5
Pd, 1.0, 27.6, 29.0
Ag, 1.9, 22.4, 21.3
Pt, 3.5, 32.2, 35.9
Au, 5.9, 43.7, 39.4
