# symbol, emt, exp, wien2k
Al, 15.93, 16.27, 16.48
Ni, 10.60, 10.81, 10.89
Cu, 11.57, 11.65, 11.95
Pd, 14.59, 14.56, 15.31
Ag, 16.77, 16.85, 17.85
Pt, 15.08, 15.02, 15.64
Au, 16.68, 16.82, 17.97
